Date,Hospitality_Turnover_Has_Increased_By_More_Than_50%,Hospitality_Turnover_Has_Increased_Between_20%_And_50%,Hospitality_Turnover_Has_Increased_By_Up_To_20%,Hospitality_Turnover_Unaffected,Hospitality_Turnover_Has_Decreased_By_Up_To_20%,Hospitality_Turnover_Has_Decreased_Between_20%_And_50%,Hospitality_Turnover_Has_Decreased_By_More_Than_50%,Hospitality_Not_Sure_,Retail_Turnover_has_increased_by_more_than_50%,Retail_Turnover_has_increased_between_20%_and_50%,Retail_Turnover_has_increased_by_up_to_20%,Retail_Turnover_unaffected,Retail_Turnover_has_decreased_by_up_to_20%,Retail_Turnover_has_decreased_between_20%_and_50%,Retail_Turnover_has_decreased_by_more_than_50%,Retail_Not_sure_,Manufacturing_Turnover_has_increased_by_more_than_50%,Manufacturing_Turnover_has_increased_between_20%_and_50%,Manufacturing_Turnover_has_increased_by_up_to_20%,Manufacturing_Turnover_unaffected,Manufacturing_Turnover_has_decreased_by_up_to_20%,Manufacturing_Turnover_has_decreased_between_20%_and_50%,Manufacturing_Turnover_has_decreased_by_more_than_50%,Manufacturing_Not_sure ,Transport_Turnover_has_increased_by_more_than_50%,Transport_Turnover_has_increased_between_20%_and_50%,Transport_Turnover_has_increased_by_up_to_20%,Transport_Turnover_unaffected,Transport_Turnover_has_decreased_by_up_to_20%,Transport_Turnover_has_decreased_between_20%_and_50%,Transport_Turnover_has_decreased_by_more_than_50%,Transport_Not_sure ,Information_Turnover_has_increased_by_more_than_50%,Information_Turnover_has_increased_between_20%_and_50%,Information_Turnover_has_increased_by_up_to_20%,Information_Turnover_unaffected,Information_Turnover_has_decreased_by_up_to_20%,Information_Turnover_has_decreased_between_20%_and_50%,Information_Turnover_has_decreased_by_more_than_50%,Information_Not_sure 
10/09/2020,1.5,5.5,13.9,15.5,17.2,22.1,17.5,6.9,1.2,5.7,14.6,29.8,23.1,15.3,2.7,7.6,1.5,2.2,9.4,36.5,23.0,18.1,4.5,5.4,1.4,4.7,3.8,29.5,22.4,21.9,12.9,3.9,0.0,4.7,3.8,29.5,22.4,21.9,12.9,3.9
11/02/2021,0.0,1.0,6.2,10.1,15.2,16.9,47.1,3.6,1.1,2.1,5.8,31.1,21.0,19.1,11.5,8.4,1.1,1.2,4.7,43.1,21.6,14.5,6.4,8.4,0.0,3.1,4.5,34.9,21.6,12.0,12.4,11.6,1.5,1.1,2.1,57.6,13.7,7.1,5.5,12.7
11/03/2021,0.0,1.2,7.9,13.5,13.0,14.8,44.8,4.7,1.4,3.1,9.3,31.4,19.4,16.7,10.2,8.5,1.1,1.8,7.5,40.4,23.1,13.2,5.6,7.8,0.0,3.3,6.9,38.3,18.8,13.2,9.0,9.9,1.0,2.1,3.5,55.2,14.7,6.8,6.2,10.7
12/08/2021,1.7,6.3,15.4,24.5,17.6,14.8,8.1,12.7,1.0,4.2,14.2,45.3,16.8,6.9,1.9,10.5,1.3,3.7,9.4,48.1,15.1,9.2,3.2,11.1,1.4,2.5,8.5,48.6,15.2,7.5,8.2,8.8,0.0,1.3,5.3,63.0,9.9,5.9,3.8,10.4
13/08/2020,1.7,2.3,4.7,5.7,13.7,33.3,35.3,3.4,3.0,7.3,9.8,25.0,18.2,20.0,10.1,6.7,1.5,3.8,7.6,30.9,19.2,23.7,10.0,3.4,1.4,3.3,6.9,22.8,22.2,20.9,17.1,6.0,0.0,1.4,4.5,48.0,18.6,12.2,7.5,7.4
14/01/2021,1.2,1.8,5.2,10.7,14.9,18.8,41.9,5.4,1.1,3.8,7.3,36.9,19.3,13.7,8.3,9.6,1.1,2.3,6.3,47.3,19.4,10.9,5.0,8.3,1.0,4.1,5.2,39.2,17.6,14.3,9.7,9.2,1.5,1.8,2.3,56.7,13.5,9.0,5.5,11.7
15/07/2021,1.7,6.0,13.7,17.5,15.6,20.7,13.5,11.4,1.0,5.3,13.7,42.7,15.4,8.9,2.9,10.1,1.3,3.5,11.4,46.7,15.7,10.0,2.4,9.7,0.0,2.3,13.4,46.1,11.1,9.7,6.1,10.5,0.0,2.9,4.4,66.2,10.3,4.2,3.3,8.8
16/07/2020,1.3,4.2,3.3,6.1,9.1,21.9,48.9,5.1,2.7,7.8,12.7,14.6,13.0,22.5,20.0,6.8,1.2,3.2,6.8,23.6,20.1,25.0,15.7,4.5,1.0,1.3,5.7,15.0,17.4,24.6,27.4,7.6,0.0,1.7,3.2,46.5,17.8,14.5,9.3,6.5
16/12/2021,2.2,2.1,6.0,45.0,16.0,17.9,5.6,13.8,1.1,2.0,4.4,48.3,14.0,10.7,5.4,14.2,0.0,4.1,5.7,51.8,15.6,9.2,7.1,6.4,0.0,3.0,10.0,31.7,9.1,17.8,5.1,32.5,0.0,3.1,4.5,63.6,6.6,5.9,5.8,10.5
17/06/2021,3.2,6.0,17.1,15.9,15.8,16.5,16.1,21.3,1.7,5.0,14.4,41.0,17.8,7.8,2.4,9.8,1.3,3.8,10.7,46.8,15.2,10.6,3.0,9.5,0.0,2.3,11.7,50.1,11.1,7.3,8.1,8.6,1.3,1.4,6.4,59.4,12.4,7.0,2.5,10.2
17/12/2020,0.0,2.2,6.2,8.7,11.6,21.8,44.5,5.7,1.4,4.2,8.8,33.3,21.2,15.0,8.5,8.4,1.1,2.6,7.0,42.2,19.8,15.7,4.6,7.7,1.1,2.8,5.1,44.6,18.3,10.8,10.5,7.4,1.5,1.2,3.0,55.5,16.9,7.3,4.9,10.5
18/11/2021,1.2,2.9,7.9,35.5,28.7,6.7,3.1,15.1,1.1,2.7,8.1,43.7,17.8,10.6,2.5,13.5,0.0,2.9,9.1,52.4,16.1,9.4,2.8,7.2,0.0,0.0,4.2,50.6,7.8,4.1,3.2,29.5,0.0,1.6,7.0,62.6,6.3,4.8,7.9,9.8
19/11/2020,0.0,1.5,5.6,7.3,17.2,29.8,32.2,6.0,1.4,4.1,10.6,31.4,21.2,18.6,7.3,6.6,1.1,2.6,8.1,42.0,20.9,14.1,5.2,6.5,1.9,2.9,7.5,37.3,16.0,8.8,15.0,10.7,1.5,1.1,2.9,53.6,17.7,9.5,7.3,7.8
20/05/2021,1.0,6.8,5.3,22.0,16.9,14.5,24.7,8.9,1.8,7.0,14.1,38.4,15.5,9.9,5.1,8.1,1.3,4.6,11.0,45.8,16.2,10.5,3.5,7.2,0.0,4.3,10.8,45.0,15.4,9.3,6.8,7.8,1.3,2.0,5.5,58.4,11.3,8.2,3.5,9.7
21/10/2021,1.4,2.4,8.3,47.1,17.8,12.3,2.2,8.5,1.0,1.4,7.9,45.6,13.4,10.5,6.1,15.4,0.0,1.4,13.7,52.2,11.2,6.7,5.1,9.7,0.0,3.9,1.4,44.3,8.2,6.2,6.0,35.4,1.0,3.5,2.1,67.7,5.5,3.2,8.0,9.0
22/04/2021,0.0,3.6,8.9,15.2,9.7,13.3,41.1,7.4,2.1,4.8,11.8,36.0,16.9,12.1,7.6,8.6,1.1,4.5,10.2,46.1,14.8,11.2,4.0,8.1,0.0,4.8,8.0,33.6,20.8,16.7,9.3,6.8,1.1,1.8,4.3,56.4,12.6,8.9,4.8,10.1
22/10/2020,1.9,5.0,10.0,12.2,16.9,28.6,22.0,4.9,1.2,3.9,14.6,34.2,27.1,10.9,2.8,6.1,1.1,3.9,7.1,40.2,24.5,14.4,4.2,5.2,1.1,3.6,7.0,35.3,22.1,15.0,11.1,4.9,0.0,1.1,2.8,55.9,19.0,9.6,2.7,8.7
23/09/2021,0.0,5.8,6.1,39.4,16.9,12.8,6.4,12.5,1.0,1.4,6.7,45.2,14.9,6.7,5.4,19.6,1.3,5.4,4.1,48.8,13.9,8.7,6.9,11.7,0.0,0.0,1.0,43.4,8.1,3.6,14.4,29.5,1.6,2.5,1.9,74.3,2.4,3.7,5.8,8.5
24/09/2020,1.9,5.5,13.3,13.6,16.8,21.3,20.8,6.8,1.2,5.1,12.1,32.4,24.8,15.4,4.1,5.7,1.1,2.9,7.1,37.7,22.2,18.6,5.9,4.6,0.0,4.8,8.0,33.6,20.8,16.7,9.3,6.8,0.0,4.7,3.7,54.2,18.4,10.6,3.9,8.6
25/02/2021,0.0,1.0,5.4,10.9,14.2,17.0,45.0,6.2,1.7,3.1,6.4,30.5,22.1,17.3,10.9,8.0,1.1,1.6,6.3,39.5,23.8,14.1,6.6,7.8,0.0,3.3,3.1,38.3,26.1,11.4,10.6,6.8,1.0,1.6,3.5,57.0,13.8,6.1,6.2,10.8
25/03/2021,0.0,2.1,8.6,12.4,10.0,15.5,43.7,7.0,2.1,3.6,10.3,31.9,20.8,14.4,9.7,7.2,1.1,3.1,7.2,43.3,19.8,13.7,5.5,6.6,1.4,3.1,6.1,40.1,16.0,13.5,10.3,9.4,1.0,1.6,3.0,59.9,13.1,6.2,6.2,9.6
26/08/2021,1.7,4.0,13.4,24.7,26.5,16.9,2.0,12.3,1.0,3.8,7.2,42.0,14.4,9.0,7.0,16.0,1.3,1.4,6.2,55.5,17.5,9.5,5.7,4.0,3.0,0.0,7.0,47.1,6.0,8.1,9.0,19.7,1.6,2.6,4.2,60.9,5.4,9.3,9.3,6.8
27/08/2020,1.2,5.9,6.1,9.4,22.7,24.2,25.1,5.4,1.2,6.0,12.3,29.9,22.4,16.1,5.0,7.2,1.5,3.6,6.7,33.2,23.9,19.4,7.8,4.7,1.4,1.5,10.2,28.1,19.4,18.1,18.1,4.1,0.0,1.9,4.9,47.1,16.1,14.9,6.9,7.6
28/01/2021,1.2,1.1,3.8,7.3,14.1,15.3,51.9,6.0,1.9,2.5,5.3,30.7,21.6,16.9,11.4,9.5,1.1,1.2,5.4,44.0,21.1,14.1,5.6,8.0,0.0,1.5,4.9,39.6,20.0,15.0,11.6,7.4,1.5,1.1,2.2,59.3,12.7,9.5,4.4,10.5
29/07/2021,1.7,6.3,13.9,21.9,15.3,17.9,11.5,11.4,1.0,4.9,13.2,44.9,15.8,8.7,2.2,9.5,1.3,3.7,10.8,47.6,14.6,9.7,3.1,10.0,1.4,2.7,9.4,45.9,17.6,8.1,6.2,8.5,0.0,1.4,5.9,65.1,10.5,4.3,2.4,10.0
30/07/2020,1.0,1.7,3.4,5.6,12.1,33.4,39.1,3.8,2.7,7.4,11.5,22.2,17.3,21.6,10.7,6.6,1.2,3.8,7.9,28.3,22.0,23.7,9.3,4.2,1.4,1.8,7.3,18.6,22.1,25.2,18.8,4.9,0.0,1.7,3.5,46.2,20.3,13.8,5.5,8.9
