Date,Hospitality_Not_been_able_to_import_in_the_last_two_weeks,Hospitality_Importing_has_not_been_affected,"Hospitality_Importing,_but_less_than_normal",Hospitality_Importing_more_than_normal,Hospitality_Not_sure,Retail_Not_been_able_to_import_in_the_last_two_weeks,Retail_Importing_has_not_been_affected,"Retail_Importing,_but_less_than_normal",Retail_Importing_more_than_normal,Retail_Not_sure,Manufacturing_Not_been_able_to_import_in_the_last_two_weeks,Manufacturing_Importing_has_not_been_affected,"Manufacturing_Importing,_but_less_than_normal",Manufacturing_Importing_more_than_normal,Manufacturing_Not_sure,Transport_Not_been_able_to_import_in_the_last_two_weeks,Transport_Importing_has_not_been_affected,"Transport_Importing,_but_less_than_normal",Transport_Importing_more_than_normal,Transport_Not_sure,Information_Not_been_able_to_import_in_the_last_two_weeks,Information_Importing_has_not_been_affected,"Information_Importing,_but_less_than_normal",Information_Importing_more_than_normal,Information_Not_sure
22/10/2020,3.9,89.6,5.3,1.6,3.5,11.0,45.6,33.2,10.3,10.5,18.2,46.3,30.7,1.5,3.3,19.8,15.1,56.9,2.4,5.9,0.0,93.8,4.9,0.0,1.2
23/09/2021,34.2,25.5,3.8,16.9,19.7,4.9,50.9,20.9,4.4,18.9,5.4,66.0,20.9,5.9,6.4,16.9,25.5,3.8,34.2,19.7,1.2,53.9,7.1,6.8,31.8
24/09/2020,1.1,49.7,4.3,42.7,2.2,6.2,46.6,38.5,1.2,7.4,17.2,53.2,24.7,2.0,3.0,4.2,28.2,57.2,5.6,4.8,0.0,33.3,24.2,0.0,42.4
25/02/2021,3.6,71.6,11.3,0.0,13.5,4.4,30.8,26.2,15.0,23.6,12.4,39.4,21.0,4.2,22.9,0.0,27.9,10.8,1.7,59.6,0.0,59.4,20.2,7.0,19.9
25/03/2021,14.9,22.6,39.0,11.0,12.5,3.7,24.7,36.2,18.6,16.9,9.9,48.4,25.0,2.7,14.1,1.6,20.4,71.2,47.2,6.0,0.0,80.1,17.0,0.0,2.3
26/08/2021,21.5,24.6,21.2,1.0,31.6,5.0,43.9,22.2,6.4,22.5,1.4,59.4,31.2,1.5,6.4,0.0,82.6,15.0,4.1,1.7,10.3,82.8,7.6,5.9,8.5
27/08/2020,3.3,20.1,76.6,0.0,0.0,5.6,63.8,27.9,1.4,1.3,1.9,40.4,55.2,1.4,1.1,0.0,13.2,86.2,2.2,0.0,0.0,91.0,7.0,0.0,1.8
28/01/2021,3.6,71.5,9.9,4.7,10.1,2.1,40.5,27.9,12.0,17.5,25.0,35.8,19.6,4.4,15.1,0.0,51.7,25.9,1.5,20.8,0.0,51.3,26.3,4.4,18.1
29/07/2021,14.9,37.8,21.6,10.9,14.7,6.6,55.6,27.9,1.3,8.5,3.0,56.4,27.4,1.3,11.9,4.2,82.2,11.6,4.1,1.1,5.7,83.8,8.4,0.0,1.9
30/07/2020,0.0,91.0,7.7,0.0,1.3,3.3,48.5,39.9,4.2,4.2,0.0,51.4,33.7,1.9,13.3,1.1,12.5,85.8,1.1,0.0,0.0,55.6,25.9,0.0,18.5
